timestamp,power_mW
1746601959.8558547,33657
1746601959.8718305,33657
1746601959.8869915,33657
1746601959.902361,33657
1746601959.9177768,33657
1746601959.93363,33657
1746601959.9485524,33657
1746601959.96423,33602
1746601959.9793048,33602
1746601959.9947205,33602
1746601960.0098963,33602
1746601960.0256453,33602
1746601960.0411348,33602
1746601960.056986,33559
1746601960.072816,33559
1746601960.087738,33559
1746601960.1031992,33559
1746601960.1184983,33559
1746601960.1342497,33559
1746601960.1493497,33559
1746601960.1647873,33524
1746601960.1803749,33524
1746601960.1962023,33524
1746601960.2117631,33524
1746601960.2270033,33524
1746601960.2425838,33524
1746601960.257788,33504
1746601960.2729268,33504
1746601960.2881641,33504
1746601960.3039296,33504
1746601960.3195443,33504
1746601960.3352623,33504
1746601960.350438,33504
1746601960.3660588,33495
1746601960.3815749,33495
1746601960.3966346,33495
1746601960.41214,33495
1746601960.4272768,33495
1746601960.4433832,33495
1746601960.4587438,33485
1746601960.4748805,33485
1746601960.4904692,33485
1746601960.5058424,33485
1746601960.5215738,33485
1746601960.5372026,33485
1746601960.552434,33485
1746601960.5676742,33460
1746601960.5829294,33460
1746601960.598104,33460
1746601960.6134796,33460
1746601960.6290343,33460
1746601960.6442845,33460
1746601960.6599178,33453
1746601960.6750793,33453
1746601960.69043,33453
1746601960.7058458,33453
1746601960.7215855,33453
1746601960.7372243,33453
1746601960.7522683,33453
1746601960.7678766,32278
1746601960.783587,32278
1746601960.7991219,32278
1746601960.8142037,32278
1746601960.8296168,32278
1746601960.8450472,32278
1746601960.8608518,30838
1746601960.8760712,30838
1746601960.8919451,30838
1746601960.9071724,30838
1746601960.9227428,30838
1746601960.9382324,30838
1746601960.9541287,30838
1746601960.9698024,29391
1746601960.9853585,29391
1746601961.0011954,29391
1746601961.0164275,29391
1746601961.0317435,29391
1746601961.04688,29391
1746601961.0626767,27950
1746601961.0780315,27950
1746601961.093464,27950
1746601961.1089408,27950
1746601961.1240704,27950
1746601961.13999,27950
1746601961.1550984,27950
1746601961.1705754,26512
1746601961.186654,26512
1746601961.2025826,26512
1746601961.2182577,26512
1746601961.2333937,26512
1746601961.2492664,26512
1746601961.2649622,25062
1746601961.2810183,25062
1746601961.2964084,25062
1746601961.3117094,25062
1746601961.3267765,25062
1746601961.342189,25062
1746601961.3581893,23664
1746601961.3737464,23664
1746601961.3891804,23664
1746601961.4043303,23664
1746601961.4199064,23664
1746601961.4356024,23664
1746601961.4513996,23664
1746601961.4665549,22197
1746601961.481982,22197
1746601961.4971788,22197
1746601961.5132272,22197
1746601961.5291367,22197
1746601961.5444226,22197
1746601961.5602136,20714
1746601961.5753653,20714
1746601961.590591,20714
1746601961.605749,20714
1746601961.6209645,20714
1746601961.6363297,20714
1746601961.6521308,20714
1746601961.6673217,19261
1746601961.6834886,19261
1746601961.6985297,19261
1746601961.7143154,19261
1746601961.730124,19261
1746601961.7461724,19261
1746601961.7624018,17799
1746601961.7775235,17799
1746601961.7936842,17799
1746601961.80891,17799
1746601961.8247976,17799
1746601961.8398476,17799
1746601961.8555703,17799
1746601961.8714764,17528
1746601961.8872144,17528
1746601961.9023833,17528
1746601961.9179633,17528
1746601961.9332855,17528
1746601961.9489708,17528
1746601961.9644883,17529
1746601961.9799833,17529
1746601961.9952574,17529
1746601962.0108316,17529
1746601962.026337,17529
1746601962.0418925,17529
1746601962.0572538,17501
1746601962.073402,17501
1746601962.0890436,17501
1746601962.1044304,17501
1746601962.119733,17501
1746601962.1356661,17501
1746601962.1508698,17501
1746601962.166272,17479
1746601962.1817846,17479
1746601962.1971648,17479
1746601962.2123816,17479
1746601962.2279952,17479
1746601962.2434783,17479
1746601962.2593286,17429
1746601962.2746,17429
1746601962.2896395,17429
1746601962.3053234,17429
1746601962.3200645,17429
1746601962.3360157,17429
1746601962.3518949,17429
1746601962.3675027,17347
1746601962.3831336,17347
1746601962.3984356,17347
1746601962.413586,17347
1746601962.429109,17347
1746601962.4451473,17347
1746601962.46102,17352
1746601962.4770746,17352
1746601962.493239,17352
1746601962.5085864,17352
1746601962.523969,17352
1746601962.5391655,17352
1746601962.5543478,17352
1746601962.5704124,17176
1746601962.585481,17176
1746601962.6015315,17176
1746601962.6174219,17176
1746601962.6332314,17176
1746601962.6484916,17176
1746601962.6646578,16912
1746601962.679767,16912
1746601962.6957884,16912
1746601962.7112973,16912
1746601962.726916,16912
1746601962.7425218,16912
1746601962.7578316,16630
1746601962.7734184,16630
1746601962.7895036,16630
1746601962.8052225,16630
1746601962.8204432,16630
1746601962.8355684,16630
1746601962.8515182,16630
1746601962.8667853,16374
1746601962.8822284,16374
1746601962.8978868,16374
1746601962.9134645,16374
1746601962.929446,16374
1746601962.9449193,16374
1746601962.9600034,16125
1746601962.975588,16125
1746601962.9920993,16125
1746601963.0073526,16125
1746601963.0229743,16125
1746601963.0387592,16125
1746601963.054838,15846
1746601963.0707717,15846
1746601963.0862844,15846
1746601963.1020818,15846
1746601963.1178133,15846
1746601963.1325052,15846
1746601963.1481185,15846
1746601963.1640098,15603
1746601963.1792622,15603
1746601963.1951656,15603
1746601963.210737,15603
1746601963.225885,15603
1746601963.2410517,15603
1746601963.2569156,15371
1746601963.2719908,15371
1746601963.2878733,15371
1746601963.3029335,15371
1746601963.3184001,15371
1746601963.3340986,15371
1746601963.349319,15371
1746601963.3646371,15144
1746601963.3803988,15144
1746601963.396111,15144
1746601963.4117434,15144
1746601963.4272363,15144
1746601963.4424093,15144
1746601963.4584694,14984
1746601963.473572,14984
1746601963.4894812,14984
1746601963.5051322,14984
1746601963.5209763,14984
1746601963.5360355,14984
1746601963.5513375,14984
1746601963.567297,14742
1746601963.5824814,14742
1746601963.5978665,14742
1746601963.6130466,14742
1746601963.6286821,14742
1746601963.6438282,14742
1746601963.6594756,14684
1746601963.6751175,14684
1746601963.691352,14684
1746601963.7060592,14684
1746601963.721573,14684
1746601963.73705,14684
1746601963.7533667,14684
1746601963.7685232,14729
1746601963.784327,14729
1746601963.7993982,14729
1746601963.815002,14729
1746601963.8307116,14729
1746601963.845841,14729
1746601963.8619137,14789
1746601963.877992,14789
1746601963.893367,14789
1746601963.9084857,14789
1746601963.9241483,14789
1746601963.939204,14789
1746601963.9555366,14839
1746601963.9708612,14839
1746601963.986881,14839
1746601964.002135,14839
1746601964.0175138,14839
1746601964.033693,14839
1746601964.048949,14839
1746601964.0650058,14903
1746601964.0807996,14903
1746601964.0965035,14903
1746601964.1122108,14903
1746601964.127573,14903
1746601964.1434455,14903
1746601964.1585052,14953
1746601964.1742673,14953
1746601964.18959,14953
1746601964.205031,14953
1746601964.2195592,14953
1746601964.235634,14953
1746601964.2510602,14953
1746601964.2669005,15039
1746601964.2821906,15039
1746601964.2975771,15039
1746601964.31325,15039
1746601964.3283587,15039
1746601964.3435636,15039
1746601964.3587754,15077
1746601964.374861,15077
1746601964.39063,15077
1746601964.4072256,15077
1746601964.4226093,15077
1746601964.437584,15077
1746601964.4528534,15077
1746601964.468263,15165
1746601964.4841359,15165
1746601964.5000367,15165
1746601964.516546,15165
1746601964.531746,15165
1746601964.5478685,15165
1746601964.5637157,15200
1746601964.5795143,15200
1746601964.5946424,15200
1746601964.6101007,15200
1746601964.625241,15200
1746601964.6415844,15200
1746601964.657045,15234
1746601964.6723747,15234
1746601964.68751,15234
1746601964.7028773,15234
1746601964.719151,15234
1746601964.734288,15234
1746601964.7502773,15234
1746601964.7658405,15228
1746601964.7819548,15228
1746601964.79711,15228
1746601964.813493,15228
1746601964.8292496,15228
1746601964.8450825,15228
1746601964.8612344,15228
1746601964.875897,15228
1746601964.8919778,15228
1746601964.907916,15228
1746601964.9236927,15228
1746601964.9387639,15228
1746601964.9539497,15209
